鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),現況格局-房,現況格局-廳,現況格局-衛,現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
東區,地+建+車,關新路１９巷121～150號,15.067,它15.049住0.012,,,10412,土地3建物1車位1,A五層=82.08,15層,住宅大樓,見其他登記事項,鋼筋混凝土造,9806,154.291,3房,2廳,2衛,有隔間,有管理組織,11050000,236753,坡道平面,0,0,無
東區,地+建,安和街４巷1～30號,93,住93,,,10412,土地1建物1,A一層=55.54，二層=55.54,2層,透天厝,住家用,鋼筋混凝土造,7710,126.35,5房,2廳,3衛,有隔間,無管理組織,14360000,375711,,0,0,無
北區,地+建+車,經國路二段511～540號,15.79,商15.79,,,10411,土地2建物1車位1,A十三層=54.69,13層,住宅大樓,見其他登記事項,鋼筋混凝土造,9512,112.107,2房,2廳,1衛,有隔間,有管理組織,6120000,180465,坡道平面,0,0,另有一公設權狀
東區,地+建+車,關新路１９巷31～60號,14.615,它14.615,,,10411,土地1建物1車位1,A十五層=84.25,15層,住宅大樓,見其他登記事項,鋼筋混凝土造,9807,151.069,3房,2廳,2衛,有隔間,有管理組織,12070000,264124,坡道平面,0,0,另有一公設權狀
北區,地+建,林森路301～330號,4.091,商4.091,,,10411,土地1建物1,A六層=29.02,12層,套房,住家用，見其他登記事項,鋼筋混凝土造,8509,35.546,1房,1廳,1衛,有隔間,有管理組織,1385000,128806,,0,0,無
東區,地+建,金山六街８巷31～60號,11.447,住11.447,,,10411,土地1建物1,A三層=22.78,5層,套房,住家用，見其他登記事項,鋼筋混凝土造,9405,30.28,1房,1廳,1衛,有隔間,有管理組織,2350000,256554,,0,0,無
東區,地+建,長春街１５４巷1～30號,7.678,住7.678,,,10411,土地1建物1,A三層=33.28,5層,套房,住家用，共同使用部份,鋼筋混凝土造,,52.949,1房,1廳,1衛,有隔間,有管理組織,2350000,146718,,0,0,無
東區,地+建+車,埔頂一路451～480號,22.877,住22.877,,,10411,土地1建物1車位1,A六層=82.59,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10010,171.429,3房,2廳,2衛,有隔間,有管理組織,11850000,228512,坡道平面,0,0,無
香山區,地+建+車,牛埔東路1～30號,18.831,住18.831,,,10411,土地1建物1車位1,A十一層=75.02,15層,住宅大樓,見其他登記事項,鋼筋混凝土造,9701,157.313,3房,2廳,2衛,有隔間,有管理組織,7550000,158656,坡道平面,34.82,0,無
北區,地+建,武陵路７３巷61～90號,50.263,住50.263,,,10408,土地1建物1,A十一層=114.18,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9309,189.092,4房,2廳,2衛,有隔間,有管理組織,9300000,162586,,0,0,無
東區,地+建,經國路一段３７９巷１０弄1～30號,4.061,商4.061,,,10412,土地1建物1,A三層=23.25,7層,套房,住家用，共同使用部份,鋼筋混凝土造,8206,31.211,1房,,1衛,有隔間,有管理組織,1180000,124984,,0,0,無
香山區,地+建,中華路六段３３１巷1～30號,83.093,,山坡地保育區,丙建83.093,10411,土地2建物1,A一層=33.32，二層=29.50，三層=29.12，見其他登記事項=26.35,3層,透天厝,見其他登記事項,鋼筋混凝土造,10408,150.57,4房,1廳,3衛,有隔間,無管理組織,9000000,197596,,0,0,前院停車，新成屋尚未成立管委會
北區,地+建,天府路一段481～510號,7.427,住7.427,,,10412,土地1建物1,A七層=53.81,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9705,70.477,2房,2廳,1衛,有隔間,有管理組織,3800000,178243,,0,0,無
東區,地+建+車,新香街331～360號,67.129,,山坡地保育區,丙建67.129,10411,土地10建物1車位1,A四層=102.70,8層,華廈,住家用，共同使用部份,鋼筋混凝土造,8407,144.349,3房,2廳,2衛,有隔間,有管理組織,4250000,97331,坡道機械,0,0,另有公設權狀
北區,地+建+車,崧嶺路1～30號,34.243,住34.243,,,10410,土地1建物1車位1,A四層=71.32,7層,華廈,見其他登記事項,鋼筋混凝土造,9411,139.362,3房,2廳,2衛,有隔間,有管理組織,6100000,144697,坡道平面,34,0,無
香山區,地+建,頂美街６１巷1～30號,83,住83,,,10412,土地1建物1,A一層=49.92，二層=51.20,2層,透天厝,見使用執照,鋼筋混凝土造,7805,139.97,4房,2廳,3衛,有隔間,無管理組織,8230000,194375,,0,0,頂樓有增建約10坪
香山區,土地,仁愛段961～990地號,3020,,,,10411,土地1,,,土地,,,,0,,,,有隔間,無管理組織,156000000,170762,,0,0,本案價金含未辦保存建物2棟.土增稅＄19417874及賣方增繳地價稅＄950837係由買方負擔全數.買方承受人等2人
東區,地+建,民有二街１０巷７弄1～30號,83,住83,,,10411,土地1建物1,A一層=49.85，二層=49.85，三層=46.70，四層=42.84,4層,透天厝,見其他登記事項,鋼筋混凝土造,9004,258.29,5房,2廳,3衛,有隔間,無管理組織,18000000,230377,,0,0,無
東區,地+建+車,關東路23巷1～30號,14.381,商14.381,,,10411,土地1建物1車位1,A十層=79.96,18層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8502,155.804,3房,2廳,2衛,有隔間,有管理組織,8700000,184592,坡道平面,0,0,無
東區,地+建+車,東南街５３巷31～60號,31.102,住31.103,,,10412,土地5建物1車位1,A五層=49.75,5層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,80.184,2房,1廳,1衛,有隔間,無管理組織,6980000,287768,坡道機械,0,0,買受人共有2人
東區,地+建+車,東南街５３巷31～60號,31.102,住31.103,,,10412,土地5建物1車位1,A四層=49.75,5層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,80.184,2房,1廳,1衛,有隔間,無管理組織,6980000,287768,坡道機械,0,0,無
北區,地+建,凌雲街91～120號,48.982,住48.982,,,10412,土地1建物1,A一層=105.00,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,189.297,3房,2廳,2衛,有隔間,有管理組織,5130670,89599,,0,0,國防部辦理國軍老舊眷村改建興建住宅社區
北區,地+建,海濱里忠信路31～60號,78.938,住78.938,,,10411,土地1建物1,A一層=46.07，二層=46.30，三層=38.51，四層=38.51，見其他登記事項=20.91,4層,透天厝,見其他登記事項,鋼筋混凝土造,10005,226.78,4房,2廳,3衛,有隔間,無管理組織,9300000,135567,,0,0,無
東區,地+建,園後街６１巷1～30號,67,它67,,,10411,土地1建物1,A一層=49.83，二層=49.83,2層,透天厝,住家用,加強磚造,,99.66,6房,2廳,3衛,有隔間,無管理組織,11580000,384116,,0,0,無
北區,地+建+車,天府路一段511～540號,11.975,住11.975,,,10412,土地1建物1車位1,A十二層=77.29,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9705,142.886,3房,2廳,2衛,有隔間,有管理組織,5700000,131875,坡道平面,30.16,0,無
東區,車位,中央路355巷1～30號,1.276,商1.276,,,10410,車位1,,13層,車位,見其他登記事項,鋼筋混凝土造,9201,17.838,,,,有隔間,有管理組織,800000,148261,坡道平面,16.67,800000,無
北區,土地,崙子段511～540地號,6,住6,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,403200,222149,,0,0,合併使用之交易
北區,土地,崙子段511～540地號,7,住7,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,470400,222149,,0,0,合併使用之交易
,土地,南湖段691～720地號,139.937,它139.937,,,10412,土地2,,,土地,,,,0,,,,有隔間,無管理組織,2242960,52986,,0,0,土地分次登記案件。前案土地登記收件字號：303400
香山區,地+建,牛埔東路511～540號,216.008,它216.008,,,10411,土地3建物1,A一層=166.60，二層=166.60，三層=13.35,3層,工廠,見其他登記事項,鋼筋混凝土造,9505,346.55,,,,無隔間,無管理組織,24700000,235616,,0,0,無
香山區,地+建,水田里瑞光街30巷1～30號,62.47,住62.47,,,10412,土地1建物1,A一層=41.44，二層=41.44，三層=41.44，四層=41.44，見其他登記事項=25.53,4層,透天厝,見其他登記事項,鋼筋混凝土造,10404,222.79,3房,2廳,4衛,有隔間,無管理組織,12500000,185477,,0,0,無
東區,地+建+車,鐵道路一段２８巷91～120號,24.317,它24.317,,,10412,土地1建物1車位1,A二層=95.19,14層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10209,167.959,4房,2廳,2衛,有隔間,有管理組織,12880000,253505,坡道平面,0,0,另有公設權狀
